web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Olusesi,TOT,MID,4.4,1.0,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,23128,7546,15582,0.0,a,
Rushworth,COV,GKP,4.5,0.9,5,1.2,360,4,0,0,0.00,0.02,0.02,7.53,0,544,4921,-4377,0.0,a,
Enciso,IPS,MID,5.5,0.9,13,3.2,340,4,0,2,0.92,0.84,1.76,6.71,26,4056,7058,-3002,0.0,a,100
Ouattara,IPS,DEF,4.0,0.9,4,1.0,41,0,0,0,0.00,0.02,0.02,0.89,3,1441,2571,-1130,0.0,a,
Davies,TOT,DEF,4.0,0.9,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1064,3801,-2737,0.0,a,
Fernandes,TOT,MID,5.8,0.9,6,1.5,204,2,0,0,0.12,0.26,0.38,3.61,14,848,7158,-6310,0.0,a,
Solanke,TOT,FWD,5.8,0.9,5,1.2,105,1,0,0,0.44,0.01,0.45,1.56,3,2194,6393,-4199,-0.1,a,
Hill,BOU,DEF,5.5,0.8,8,2.0,360,4,0,0,0.00,0.77,0.77,5.30,35,1599,5114,-3515,0.0,a,
Sánchez,CHE,GKP,4.9,0.8,2,0.5,90,1,0,0,0.00,0.01,0.01,1.33,0,0,8359,-8359,0.0,u,0
Thomas-Asante,COV,FWD,5.0,0.8,5,1.2,137,1,0,0,0.21,0.05,0.26,3.88,11,4119,5872,-1753,0.0,a,
Wharton,CRY,MID,5.5,0.8,10,2.5,346,4,0,0,0.08,0.36,0.44,7.60,34,1449,6118,-4669,0.0,a,100
Keane,EVE,DEF,4.8,0.8,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,894,6357,-5463,-0.1,a,
George,EVE,MID,5.5,0.8,18,4.5,298,4,1,0,0.32,0.31,0.63,3.33,16,20943,4540,16403,0.0,a,
Beto,EVE,FWD,5.4,0.8,2,0.5,31,0,0,0,0.09,0.00,0.09,1.92,1,0,13099,-13099,0.0,u,0
Castagne,FUL,DEF,4.5,0.8,19,4.8,318,4,0,2,0.67,0.38,1.05,5.21,20,6844,3199,3645,0.0,a,
Bijol,LEE,DEF,5.0,0.8,12,3.0,164,2,0,0,0.11,0.00,0.11,3.16,21,1705,6332,-4627,0.0,a,
Burn,NEW,DEF,4.9,0.8,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,105,6253,-6148,0.0,i,0
Richarlison,TOT,FWD,5.9,0.8,2,0.5,67,1,0,0,0.00,0.00,0.00,3.02,1,0,10960,-10960,0.0,u,0
Maatsen,AVL,DEF,4.5,0.7,9,2.2,335,4,0,0,0.28,0.45,0.73,6.54,24,497,13905,-13408,0.0,d,25
Yarmoliuk,BRE,MID,4.8,0.7,6,1.5,148,1,0,1,0.07,0.24,0.31,4.03,16,552,4300,-3748,-0.1,a,
Hinshelwood,BHA,MID,5.9,0.7,16,4.0,63,1,2,0,1.41,0.02,1.43,0.19,3,76,16092,-16016,-0.1,i,0
Kostoulas,BHA,FWD,5.5,0.7,18,4.5,278,3,1,2,1.17,0.05,1.22,6.78,23,22067,5692,16375,0.0,a,
Welbeck,CHE,FWD,5.9,0.7,2,0.5,15,0,0,0,0.00,0.06,0.06,0.54,1,2289,6069,-3780,0.0,a,100
Palestra,CHE,DEF,5.3,0.7,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,83,11129,-11046,-0.1,i,0
Estêvão,CHE,MID,6.3,0.7,3,0.8,20,0,0,0,0.07,0.07,0.14,0.58,2,1330,5929,-4599,-0.1,a,
Dasilva,COV,DEF,4.0,0.7,5,1.2,354,4,0,0,0.18,0.48,0.66,7.53,19,454,2270,-1816,0.0,a,
Amenda,COV,DEF,4.0,0.7,4,1.0,360,4,0,0,0.02,0.39,0.41,7.53,24,1071,2466,-1395,0.0,a,
Simms,COV,FWD,5.0,0.7,3,0.8,88,1,0,0,0.30,0.01,0.31,2.55,3,1450,5856,-4406,0.0,a,
Sarr,CRY,MID,6.2,0.7,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,7361,-7318,-0.1,i,0
Maitland-Niles,EVE,DEF,4.5,0.7,13,6.5,87,1,1,0,0.06,0.14,0.20,0.72,5,26003,2682,23321,0.0,a,
Bassey,FUL,DEF,4.5,0.7,9,2.2,360,4,0,0,0.07,0.07,0.14,7.51,21,1953,1800,153,0.0,a,
Iwobi,FUL,MID,5.4,0.7,9,2.2,338,4,0,0,0.20,0.81,1.01,7.04,22,1482,4723,-3241,0.0,a,
Kipré,IPS,DEF,3.9,0.7,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,14983,3034,11949,-0.1,a,
Doku,MCI,MID,7.4,0.7,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,143,3797,-3654,0.0,i,0
Botman,NEW,DEF,5.0,0.7,11,2.8,360,4,0,0,0.01,0.17,0.18,7.55,41,2946,3066,-120,0.0,a,
Ndoye,NFO,MID,5.5,0.7,14,3.5,258,4,1,0,1.05,0.88,1.93,3.21,19,9058,5489,3569,0.0,a,
Sávio,TOT,MID,6.5,0.7,6,1.5,150,2,0,0,0.12,0.53,0.65,1.60,6,4979,6319,-1340,0.0,a,100
Lewis-Skelly,ARS,MID,5.5,0.6,9,2.2,271,4,0,0,0.16,0.23,0.39,1.02,14,1749,5965,-4216,0.0,a,
Zubimendi,ARS,MID,5.3,0.6,4,1.0,59,0,0,0,0.08,0.04,0.12,0.68,11,806,5132,-4326,-0.1,a,
Burrowes,AVL,MID,4.5,0.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1175,3805,-2630,0.0,a,
O.Dango,BRE,MID,6.4,0.6,6,1.5,170,2,0,0,0.09,0.39,0.48,2.68,28,339,6984,-6645,0.0,a,
Awoniyi,COV,FWD,5.5,0.6,3,0.8,232,3,0,0,1.30,0.04,1.34,3.55,11,501,10032,-9531,0.0,s,0
Richards,CRY,DEF,5.0,0.6,6,1.5,360,4,0,0,0.08,0.06,0.14,8.15,44,987,3998,-3011,0.0,a,
Strand Larsen,CRY,FWD,6.0,0.6,12,3.0,217,2,1,0,0.39,0.03,0.42,4.89,10,7321,3822,3499,0.0,a,
Nketiah,CRY,FWD,5.5,0.6,7,1.8,167,3,0,1,1.10,0.58,1.68,4.45,11,226,12202,-11976,0.0,d,75
Coyle,HUL,DEF,4.0,0.6,13,3.2,258,4,0,0,0.13,0.03,0.16,4.78,9,6165,1933,4232,0.0,a,100
Herrington,HUL,DEF,4.0,0.6,4,1.0,107,0,0,0,0.00,0.01,0.01,1.92,8,1916,1770,146,0.0,a,
Button,IPS,GKP,4.0,0.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1269,1070,199,0.0,a,
Scherpen,IPS,GKP,4.5,0.6,7,1.8,360,4,0,0,0.00,0.01,0.01,6.74,0,1053,1664,-611,0.0,a,
Zetterer,LEE,GKP,4.0,0.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,9880,2252,7628,0.0,a,
Andrey Santos,MUN,MID,4.8,0.6,4,1.0,82,1,0,0,0.00,0.24,0.24,2.03,18,1546,6910,-5364,-0.1,a,
Dorgu,MUN,MID,5.8,0.6,6,1.5,165,2,0,0,0.65,0.08,0.73,3.38,18,1654,4427,-2773,0.0,a,
Woltemade,NEW,FWD,5.9,0.6,4,1.0,19,0,0,1,0.02,0.01,0.03,0.38,0,0,6814,-6814,0.0,u,0
Neave,NEW,FWD,4.5,0.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,4797,-4797,0.0,u,0
J.Angulo,SUN,FWD,4.5,0.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,15825,4931,10894,0.0,a,
Damsgaard,BRE,MID,5.5,0.5,13,3.2,197,2,0,1,0.13,0.45,0.58,2.36,21,666,3796,-3130,0.0,a,
Georginio,BHA,FWD,5.4,0.5,5,1.2,90,1,0,1,0.08,0.44,0.52,0.29,7,509,6852,-6343,0.0,d,75
Bentley,COV,GKP,4.0,0.5,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,4425,1130,3295,0.0,a,
Kamada,CRY,MID,5.0,0.5,18,4.5,351,4,0,3,0.05,0.35,0.40,7.54,28,11648,2830,8818,0.0,a,
Chilwell,CRY,DEF,4.5,0.5,8,4.0,29,0,1,0,0.27,0.01,0.28,1.12,1,1992,4496,-2504,0.0,a,
Crooks,HUL,MID,4.5,0.5,3,0.8,158,2,0,0,0.00,0.00,0.00,2.38,19,2323,2767,-444,0.0,a,100
Furlong,IPS,DEF,4.0,0.5,1,0.2,17,0,0,0,0.00,0.00,0.00,0.86,3,181,1461,-1280,0.0,a,
Aaronson,LEE,MID,5.4,0.5,6,1.5,172,2,0,0,0.01,0.02,0.03,3.38,11,400,3834,-3434,0.0,a,
Nmecha,LEE,FWD,5.4,0.5,6,1.5,50,0,0,1,0.27,0.15,0.42,2.53,2,2962,3376,-414,0.0,a,
Ngumoha,LIV,MID,5.8,0.5,4,1.0,99,1,0,0,0.15,0.05,0.20,0.68,4,888,5647,-4759,0.0,a,
Yoro,MUN,DEF,4.9,0.5,2,0.5,22,0,0,0,0.00,0.02,0.02,1.09,5,353,2663,-2310,0.0,a,
