web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Martinez,CHE,GKP,5.0,5.0,7,1.8,270,3,0,0,0.00,0.01,0.01,4.84,0,8760,23821,-15061,0.0,a,
Tavernier,BOU,MID,6.1,4.9,29,7.2,350,4,3,0,1.70,0.81,2.51,5.14,36,115881,13698,102183,0.1,a,
Dewsbury-Hall,EVE,MID,6.5,4.9,17,4.2,360,4,1,0,0.62,0.49,1.11,5.46,35,42724,21634,21090,0.0,a,
Gomez,BHA,MID,5.0,4.7,16,4.0,348,4,0,2,0.79,0.76,1.55,7.01,23,5370,26958,-21588,0.0,a,
Ajer,BRE,DEF,4.5,4.4,14,3.5,360,4,0,0,0.13,0.03,0.16,5.49,41,4260,22886,-18626,0.0,a,
Steele,BHA,GKP,4.0,4.2,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,7034,7371,-337,0.0,a,
Anderson,MCI,MID,6.3,4.2,13,3.2,323,4,0,0,0.09,0.65,0.74,3.58,45,8380,15038,-6658,0.0,a,100
Palmer,IPS,GKP,4.0,4.1,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,3409,7316,-3907,0.0,a,
Senesi,TOT,DEF,5.8,4.1,3,0.8,90,1,0,0,0.00,0.02,0.02,3.87,16,1046,31892,-30846,-0.1,a,
E.Le Fée,SUN,MID,5.8,4.1,13,3.2,348,4,1,0,2.06,0.82,2.88,5.64,18,2056,34518,-32462,0.0,a,
Xhaka,SUN,MID,5.5,4.1,19,4.8,360,4,0,1,0.06,0.94,1.00,5.84,46,5846,22568,-16722,0.0,a,
Muharemović,LEE,DEF,5.0,3.9,20,5.0,324,4,0,1,0.09,0.04,0.13,4.79,45,8183,7606,577,0.0,a,
A.Becker,LIV,GKP,5.5,3.9,19,4.8,360,4,0,0,0.00,0.00,0.00,5.33,0,9270,8209,1061,0.0,a,
Van de Ven,TOT,DEF,5.0,3.9,15,3.8,270,3,0,0,0.57,0.04,0.61,2.75,23,12847,6783,6064,0.0,a,100
